User_ID,Name,Age,Profile_Type,Gender,Country,Subscription_Plan,Favorite_Genre,Watch_Time_Hours_Per_Week,Device_Used,Monthly_Spend_USD,Join_Date,Last_Login,Movies_Watched_Per_Month,Bing_Watcher
70,Erik Curtis,62,Adult,Female,Australia,Basic,Fantasy,23,Smart TV,19,2023-08-28,2026-04-16,34,No
71,James Tucker,9,Kids,Male,France,Basic,Animation,41,Laptop,9.4,2023-02-27,2026-01-28,28,Yes
72,James Miller,31,Adult,Female,France,Basic,Comedy,50,Tablet,8.54,2022-04-03,2026-04-24,11,Yes
73,Kimberly Wilson,15,Kids,Female,France,Standard,Comedy,32,Mobile,9.95,2022-09-14,2026-03-09,41,Yes
74,Eddie Kramer,39,Adult,Male,Germany,Standard,Comedy,15,Laptop,13.05,2022-06-15,2026-02-18,25,Yes
75,Erik Tucker,26,Adult,Female,Canada,Premium,Action,34,Laptop,15.94,2021-05-19,2026-01-21,7,No
76,Jonathan Clark,14,Kids,Female,Canada,Standard,Action,28,Laptop,11.75,2021-08-03,2026-01-10,30,Yes
77,Eddie Mendoza,58,Adult,Female,India,Standard,Cartoon,40,Tablet,5.3,2022-10-30,2026-03-03,31,No
78,Courtney Curtis,25,Adult,Male,India,Basic,Action,16,Smart TV,19.24,2024-06-16,2026-03-01,7,No
79,Eddie Wilson,23,Adult,Male,Canada,Premium,Cartoon,5,Laptop,16.39,2023-01-05,2026-01-08,35,No
80,Courtney Mendoza,55,Adult,Female,USA,Basic,Sci-Fi,41,Tablet,7.88,2021-01-25,2026-02-25,31,Yes
81,Erik Mendoza,51,Adult,Female,UK,Basic,Thriller,47,Tablet,14.03,2023-12-15,2026-04-03,34,Yes
82,Timothy Wilson,53,Adult,Female,Canada,Premium,Action,22,Tablet,18.67,2022-09-09,2026-01-07,49,Yes
83,Kimberly Tucker,24,Adult,Female,USA,Basic,Horror,11,Mobile,19.98,2021-02-02,2026-03-26,42,No
84,David Wilson,51,Adult,Female,Canada,Standard,Thriller,14,Tablet,5.94,2023-05-11,2026-04-02,14,Yes
85,James Kramer,22,Adult,Male,Australia,Basic,Thriller,42,Mobile,17.03,2024-08-26,2026-05-23,14,Yes
86,Jo Wood,70,Adult,Male,UK,Basic,Family,12,Tablet,5.91,2022-02-21,2026-02-05,47,Yes
87,Mark Miller,44,Adult,Female,India,Standard,Drama,43,Laptop,14.15,2021-05-09,2026-02-08,24,No
88,David Tucker,24,Adult,Female,Canada,Standard,Horror,25,Mobile,8.56,2023-03-20,2026-01-06,9,Yes
89,David Kramer,60,Adult,Female,UK,Premium,Thriller,39,Smart TV,6.54,2021-07-30,2026-04-15,8,No
90,James Tucker,34,Adult,Female,Australia,Standard,Cartoon,50,Laptop,6.03,2025-01-01,2026-06-05,16,Yes
91,Kimberly Wood,43,Adult,Female,India,Standard,Fantasy,45,Smart TV,15.83,2023-10-01,2026-03-19,44,Yes
92,Eddie Mendoza,30,Adult,Female,Australia,Premium,Animation,32,Mobile,7.26,2024-11-01,2026-06-02,7,No
93,Mark Garza,29,Adult,Male,France,Standard,Animation,24,Mobile,12.41,2022-09-07,2026-06-03,35,Yes
94,Erik Sherman,59,Adult,Female,Germany,Premium,Sci-Fi,32,Mobile,12.77,2024-04-19,2026-01-08,1,Yes
95,James Wilson,62,Adult,Male,Australia,Basic,Action,7,Mobile,11.36,2024-07-10,2026-03-19,50,No
96,Jo Wood,67,Adult,Male,Germany,Basic,Comedy,48,Laptop,9.71,2024-01-27,2026-06-08,37,No
97,Eddie Sherman,17,Kids,Female,India,Standard,Fantasy,28,Mobile,8.5,2022-01-18,2026-03-15,41,Yes
98,Jonathan Wood,47,Adult,Male,France,Basic,Action,10,Laptop,19.3,2022-12-22,2026-06-01,10,No
99,Kimberly Sherman,26,Adult,Male,Canada,Premium,Thriller,6,Mobile,15.18,2023-03-10,2026-02-18,40,No
100,Jonathan Tucker,42,Adult,Female,France,Premium,Romance,25,Tablet,7.64,2023-07-08,2026-04-17,30,Yes
101,Jo Curtis,31,Adult,Male,Germany,Premium,Fantasy,5,Smart TV,19.55,2022-07-08,2026-04-09,11,No
102,David Sherman,40,Adult,Male,Australia,Premium,Action,29,Tablet,14.85,2022-08-20,2026-03-10,1,No
103,Jonathan Mendoza,36,Adult,Male,USA,Premium,Romance,27,Smart TV,6.04,2021-05-26,2026-04-28,34,No
104,David Garza,62,Adult,Female,Australia,Standard,Horror,25,Laptop,17.61,2021-11-18,2026-05-03,10,Yes
105,Timothy Wood,23,Adult,Male,France,Standard,Cartoon,10,Smart TV,9.02,2021-10-10,2026-06-03,16,Yes
106,Erik Wilson,51,Adult,Male,UK,Basic,Documentary,40,Smart TV,15.56,2022-08-11,2026-01-26,12,Yes
107,Eddie Miller,59,Adult,Male,India,Premium,Action,19,Laptop,15.51,2021-09-25,2026-03-27,6,No
108,Mark Kramer,20,Adult,Male,Germany,Basic,Romance,22,Tablet,5.95,2021-07-09,2026-02-12,24,Yes
109,Mark Wilson,56,Adult,Male,India,Premium,Drama,50,Tablet,17.54,2024-09-13,2026-02-23,27,No
110,Erik Wilson,25,Adult,Male,UK,Standard,Romance,19,Tablet,6.21,2021-08-03,2026-03-29,47,Yes
111,Jo Clark,37,Adult,Male,Canada,Standard,Fantasy,5,Mobile,6.69,2022-05-11,2026-02-02,12,No
112,Kimberly Mendoza,65,Adult,Male,Germany,Premium,Thriller,18,Laptop,19.14,2024-02-08,2026-05-03,19,Yes
113,Kimberly Wilson,69,Adult,Female,Germany,Basic,Drama,19,Smart TV,16.69,2022-03-25,2026-03-19,48,Yes
114,Eddie Tucker,25,Adult,Female,Australia,Basic,Fantasy,46,Laptop,8.03,2022-02-16,2026-01-12,7,Yes
115,Erik Clark,17,Kids,Male,India,Premium,Comedy,15,Tablet,16.01,2023-03-23,2026-06-01,39,Yes
116,Erik Sherman,52,Adult,Male,Canada,Standard,Sci-Fi,39,Smart TV,5.29,2022-08-13,2026-04-13,3,Yes
117,Kimberly Tucker,30,Adult,Male,UK,Basic,Horror,22,Mobile,5.47,2023-11-21,2026-03-10,14,No
118,James Wood,23,Adult,Male,UK,Standard,Animation,30,Tablet,10.59,2021-11-11,2026-04-30,49,Yes
119,Kimberly Mendoza,66,Adult,Female,France,Basic,Fantasy,23,Tablet,19.34,2024-01-15,2026-03-27,13,Yes
120,Mark Garza,29,Adult,Male,France,Basic,Family,6,Tablet,16.98,2022-10-28,2026-01-27,34,Yes
121,Jonathan Wood,19,Adult,Male,France,Standard,Thriller,5,Laptop,6.93,2021-08-07,2026-04-01,3,No
122,Eddie Kramer,15,Kids,Male,Canada,Premium,Animation,9,Smart TV,19.74,2024-12-12,2026-02-17,5,Yes
123,Erik Sherman,44,Adult,Male,Australia,Standard,Family,31,Mobile,8.84,2021-03-06,2026-05-24,46,Yes
124,Erik Wilson,24,Adult,Male,Canada,Basic,Romance,12,Mobile,8.99,2022-09-17,2026-02-02,4,No
125,Timothy Kramer,26,Adult,Male,Australia,Basic,Fantasy,32,Smart TV,11.79,2022-06-04,2026-05-17,26,No
126,Courtney Miller,37,Adult,Male,Australia,Premium,Cartoon,48,Mobile,17.77,2022-10-02,2026-03-04,1,Yes
127,Jonathan Curtis,41,Adult,Female,USA,Premium,Comedy,19,Laptop,11.29,2021-04-09,2026-05-28,16,Yes
128,Timothy Garza,12,Kids,Male,UK,Basic,Horror,38,Tablet,18.01,2021-05-29,2026-05-21,26,No
129,Courtney Sherman,35,Adult,Male,Canada,Premium,Action,12,Smart TV,16.81,2021-05-17,2026-06-03,7,Yes
130,Kimberly Wilson,34,Adult,Female,Australia,Basic,Horror,14,Tablet,11.51,2024-11-21,2026-02-05,44,No
131,James Garza,36,Adult,Male,Australia,Basic,Horror,48,Tablet,17.71,2021-07-08,2026-05-10,31,No
132,Jonathan Wood,43,Adult,Female,Germany,Premium,Thriller,13,Laptop,14.76,2022-09-11,2026-03-28,41,No
133,Mark Tucker,50,Adult,Male,France,Standard,Sci-Fi,19,Mobile,14.59,2023-04-17,2026-04-21,17,No
134,Timothy Kramer,44,Adult,Male,Germany,Standard,Action,7,Smart TV,14.69,2021-05-30,2026-03-28,50,Yes
135,Kimberly Wilson,6,Kids,Male,Canada,Standard,Cartoon,20,Laptop,12.08,2023-08-19,2026-04-27,29,No
136,Kimberly Curtis,14,Kids,Female,Australia,Basic,Fantasy,10,Tablet,5.83,2024-04-28,2026-03-19,41,No
137,Jo Mendoza,39,Adult,Male,USA,Standard,Family,16,Tablet,12.16,2021-03-03,2026-05-17,36,No
138,Erik Wood,6,Kids,Male,Canada,Basic,Documentary,13,Laptop,5.05,2021-06-26,2026-04-26,22,No
139,Mark Wilson,59,Adult,Male,Germany,Premium,Documentary,24,Smart TV,8.31,2024-06-30,2026-01-20,29,Yes
140,Kimberly Sherman,48,Adult,Male,France,Basic,Drama,33,Tablet,10.39,2022-01-16,2026-04-21,38,No
141,Timothy Wood,34,Adult,Male,USA,Standard,Sci-Fi,42,Tablet,17.19,2022-05-08,2026-01-02,16,No
142,Erik Kramer,58,Adult,Female,Germany,Standard,Sci-Fi,12,Laptop,14.28,2021-11-10,2026-03-02,48,No
143,Erik Curtis,53,Adult,Male,UK,Standard,Action,30,Laptop,6.1,2023-07-16,2026-01-28,9,No
144,Mark Wilson,58,Adult,Female,India,Basic,Horror,15,Mobile,12.2,2023-05-02,2026-02-13,41,Yes
145,James Curtis,54,Adult,Male,UK,Standard,Thriller,27,Tablet,19.88,2022-08-24,2026-05-09,34,No
146,Courtney Mendoza,21,Adult,Female,Australia,Basic,Documentary,41,Laptop,16.21,2023-07-04,2026-05-08,2,No
147,Jo Kramer,66,Adult,Male,India,Basic,Sci-Fi,6,Laptop,16.26,2024-09-01,2026-02-02,37,No
148,Courtney Kramer,52,Adult,Female,Germany,Standard,Thriller,11,Mobile,19.82,2025-01-16,2026-01-12,1,Yes
149,Eddie Garza,28,Adult,Male,Australia,Basic,Drama,39,Tablet,9.2,2023-09-08,2026-03-04,17,No
150,Courtney Clark,49,Adult,Male,France,Premium,Action,41,Mobile,14.54,2023-05-05,2026-05-26,33,Yes
151,James Sherman,15,Kids,Female,France,Basic,Thriller,42,Smart TV,14.64,2022-06-24,2026-03-12,46,No
152,Kimberly Garza,64,Adult,Female,Canada,Standard,Cartoon,34,Smart TV,12.78,2023-03-15,2026-03-09,49,Yes
153,Mark Clark,41,Adult,Female,India,Basic,Fantasy,14,Smart TV,6.04,2022-01-16,2026-01-27,35,Yes
154,Jo Wilson,34,Adult,Male,Canada,Standard,Comedy,44,Laptop,17.09,2023-02-03,2026-06-06,40,Yes
155,Kimberly Sherman,42,Adult,Male,UK,Premium,Documentary,29,Mobile,9.06,2024-03-18,2026-05-29,44,No
156,James Kramer,15,Kids,Female,India,Basic,Documentary,11,Laptop,18.62,2022-07-19,2026-03-04,24,No
157,Eddie Wood,32,Adult,Female,UK,Premium,Romance,5,Mobile,7.41,2022-12-23,2026-02-20,24,No
158,Erik Sherman,67,Adult,Male,USA,Basic,Sci-Fi,36,Laptop,17.67,2023-06-20,2026-05-21,38,No
159,Kimberly Tucker,53,Adult,Male,UK,Basic,Romance,5,Smart TV,13.68,2023-01-11,2026-05-17,27,Yes
160,Mark Sherman,9,Kids,Female,Canada,Premium,Action,29,Smart TV,6.39,2021-03-15,2026-05-18,38,Yes
161,Mark Mendoza,17,Kids,Male,Germany,Standard,Thriller,35,Mobile,10.03,2023-01-24,2026-05-01,22,No
162,James Mendoza,64,Adult,Female,Canada,Premium,Thriller,13,Mobile,13.28,2024-09-23,2026-06-04,37,Yes
163,Jo Wilson,63,Adult,Female,India,Basic,Family,49,Mobile,6.18,2024-08-28,2026-02-26,20,Yes
164,James Clark,23,Adult,Female,France,Basic,Action,31,Laptop,17.71,2024-03-31,2026-02-19,1,Yes
165,Eddie Wilson,55,Adult,Female,UK,Basic,Documentary,39,Smart TV,17.18,2023-04-09,2026-02-26,44,No
166,Kimberly Tucker,18,Adult,Male,France,Standard,Romance,28,Laptop,17.86,2023-06-27,2026-01-06,41,No
167,Jonathan Tucker,52,Adult,Male,USA,Standard,Thriller,10,Mobile,15.84,2022-04-27,2026-05-08,27,No
168,Jonathan Tucker,13,Kids,Male,Australia,Basic,Romance,15,Smart TV,8.19,2021-01-01,2026-03-06,22,Yes
169,Jonathan Clark,10,Kids,Female,Germany,Basic,Cartoon,21,Tablet,16.18,2022-10-08,2026-01-22,5,No
170,Jonathan Garza,70,Adult,Female,USA,Standard,Documentary,24,Tablet,11.85,2021-06-10,2026-01-07,20,No
171,Courtney Mendoza,66,Adult,Female,USA,Standard,Action,28,Laptop,6.86,2021-07-11,2026-03-01,40,No
172,David Curtis,40,Adult,Male,Australia,Basic,Drama,35,Tablet,10.24,2024-08-31,2026-01-17,36,Yes
173,Timothy Miller,48,Adult,Male,USA,Standard,Sci-Fi,34,Laptop,12.83,2022-01-08,2026-02-20,18,Yes
174,Kimberly Curtis,33,Adult,Female,UK,Premium,Sci-Fi,10,Mobile,14.31,2022-12-14,2026-02-09,11,No
175,Mark Tucker,65,Adult,Male,UK,Premium,Fantasy,32,Laptop,7.3,2023-04-21,2026-03-09,4,No
176,Jonathan Wilson,23,Adult,Male,Australia,Basic,Family,32,Tablet,11.68,2023-11-23,2026-05-11,16,No
177,James Sherman,65,Adult,Female,France,Standard,Animation,12,Mobile,8.3,2023-11-17,2026-04-20,3,No
178,Erik Tucker,32,Adult,Male,Australia,Basic,Sci-Fi,12,Mobile,14.6,2023-12-21,2026-01-17,19,Yes
179,David Sherman,32,Adult,Female,France,Premium,Drama,15,Smart TV,19.56,2024-07-15,2026-01-27,25,No
180,Eddie Wood,36,Adult,Male,USA,Premium,Comedy,21,Tablet,13.37,2023-04-16,2026-03-17,16,No
181,Jonathan Garza,59,Adult,Male,India,Premium,Action,33,Smart TV,18.25,2024-05-02,2026-04-02,31,No
182,James Kramer,62,Adult,Female,India,Basic,Romance,34,Tablet,9.59,2021-03-19,2026-01-18,50,Yes
183,Kimberly Wilson,47,Adult,Male,Canada,Premium,Action,23,Smart TV,12.84,2021-05-14,2026-05-07,20,Yes
184,Jonathan Sherman,11,Kids,Male,UK,Standard,Family,25,Mobile,5.86,2022-06-10,2026-01-18,13,No
185,Eddie Wood,61,Adult,Female,India,Standard,Sci-Fi,22,Smart TV,15.33,2023-01-25,2026-03-22,29,Yes
186,Jonathan Wilson,10,Kids,Male,Australia,Basic,Drama,43,Tablet,10.91,2021-12-12,2026-02-27,43,Yes
187,James Miller,67,Adult,Male,France,Basic,Action,22,Mobile,7.54,2021-12-29,2026-04-05,4,No
188,Jonathan Clark,61,Adult,Male,France,Premium,Fantasy,11,Mobile,17.4,2021-12-13,2026-02-05,18,Yes
189,Erik Wood,17,Kids,Male,Canada,Basic,Sci-Fi,16,Mobile,11.47,2022-09-01,2026-03-17,31,Yes
190,Courtney Sherman,12,Kids,Female,Canada,Basic,Documentary,45,Smart TV,10.81,2024-03-11,2026-05-20,37,Yes
191,Jo Garza,35,Adult,Male,France,Premium,Sci-Fi,39,Mobile,15.06,2022-04-04,2026-04-23,4,Yes
192,Jonathan Curtis,69,Adult,Female,France,Basic,Thriller,16,Smart TV,10.17,2021-08-25,2026-04-08,42,Yes
193,Mark Mendoza,59,Adult,Male,India,Basic,Animation,29,Smart TV,11.86,2023-07-19,2026-01-27,50,No
194,Timothy Kramer,68,Adult,Female,India,Standard,Cartoon,22,Tablet,16.31,2022-12-03,2026-06-02,23,No
195,James Wilson,37,Adult,Female,Canada,Standard,Thriller,34,Tablet,19.44,2023-12-30,2026-05-20,42,No
196,Kimberly Clark,18,Adult,Male,UK,Premium,Family,24,Mobile,12.1,2021-02-15,2026-05-25,30,Yes
197,Timothy Miller,29,Adult,Female,Australia,Premium,Comedy,19,Smart TV,14.25,2024-07-16,2026-02-20,5,Yes
198,Kimberly Kramer,30,Adult,Female,Canada,Basic,Romance,7,Mobile,7.04,2022-08-13,2026-02-11,37,Yes
199,Jonathan Wood,18,Adult,Female,UK,Basic,Fantasy,34,Tablet,10.66,2025-01-05,2026-04-20,1,Yes
200,Kimberly Wood,48,Adult,Female,France,Premium,Thriller,27,Mobile,15.81,2024-07-02,2026-05-21,40,Yes
201,Erik Mendoza,17,Kids,Female,USA,Standard,Action,21,Smart TV,6.37,2023-08-28,2026-04-12,10,No
202,Erik Sherman,62,Adult,Male,USA,Basic,Documentary,47,Laptop,10.78,2024-02-28,2026-04-10,19,Yes
203,James Wilson,14,Kids,Male,Canada,Basic,Sci-Fi,33,Smart TV,19.53,2021-11-29,2026-01-22,13,No
204,Mark Kramer,50,Adult,Female,USA,Premium,Romance,34,Laptop,16.99,2021-01-24,2026-02-08,13,Yes
205,David Wilson,47,Adult,Male,France,Basic,Action,31,Smart TV,17.32,2022-07-23,2026-01-25,7,Yes
206,Erik Wilson,45,Adult,Female,Australia,Standard,Fantasy,9,Tablet,17.79,2023-05-01,2026-02-01,2,No
207,Erik Sherman,30,Adult,Male,Australia,Basic,Comedy,14,Laptop,19.72,2024-07-10,2026-02-17,11,Yes
208,Jonathan Wood,12,Kids,Male,UK,Standard,Sci-Fi,12,Laptop,12.91,2023-06-29,2026-05-12,27,No
209,James Wilson,9,Kids,Female,Germany,Premium,Thriller,8,Smart TV,16.39,2024-10-25,2026-01-25,22,Yes
210,Kimberly Mendoza,65,Adult,Male,UK,Basic,Cartoon,5,Laptop,15.75,2022-01-03,2026-01-27,25,Yes
211,Kimberly Curtis,32,Adult,Female,USA,Premium,Comedy,7,Smart TV,9.23,2021-01-12,2026-05-22,8,No
212,David Tucker,53,Adult,Male,India,Basic,Romance,22,Mobile,18.26,2021-06-12,2026-02-06,41,Yes
213,Kimberly Sherman,56,Adult,Male,France,Premium,Fantasy,42,Smart TV,9.59,2024-11-25,2026-05-03,4,Yes
214,Jonathan Wilson,40,Adult,Female,UK,Basic,Drama,37,Laptop,14.67,2024-09-22,2026-03-12,4,Yes
215,Eddie Kramer,30,Adult,Female,UK,Basic,Drama,22,Tablet,18.25,2022-11-24,2026-02-16,18,Yes
216,Eddie Clark,12,Kids,Female,USA,Premium,Comedy,23,Laptop,19.52,2021-07-06,2026-01-05,8,Yes
217,David Curtis,18,Adult,Male,UK,Premium,Animation,37,Mobile,12.12,2024-08-05,2026-02-08,2,No
218,James Garza,40,Adult,Female,India,Premium,Animation,31,Laptop,17.85,2023-11-20,2026-01-28,46,Yes
219,Courtney Sherman,37,Adult,Female,Australia,Basic,Cartoon,8,Mobile,6.36,2022-10-16,2026-01-31,14,Yes
220,Timothy Sherman,69,Adult,Male,USA,Standard,Comedy,50,Laptop,16.51,2022-01-21,2026-05-23,50,No
221,Kimberly Curtis,57,Adult,Female,Canada,Basic,Thriller,26,Mobile,13.44,2023-01-22,2026-06-03,20,Yes
222,James Clark,57,Adult,Male,Australia,Premium,Drama,38,Mobile,6.44,2022-02-04,2026-05-14,2,No
223,Jo Tucker,64,Adult,Male,India,Basic,Comedy,10,Tablet,17.82,2023-02-07,2026-02-28,38,No
224,Jonathan Curtis,17,Kids,Male,France,Standard,Animation,29,Mobile,10.61,2023-11-06,2026-01-09,21,Yes
